ontology1,ontology2,count
ATC,BAO,0
ATC,BFO,0
ATC,BP,0
ATC,ChEBI,0
ATC,CL,0
ATC,CLO,0
ATC,DIDEO,0
ATC,DOID,0
ATC,DTO,0
ATC,FMA,0
ATC,GO,0
ATC,HOOM,0
ATC,HP,0
ATC,HRDO,0
ATC,IAO,0
ATC,ICD10CM,0
ATC,IDO,0
ATC,MEDDRA,0
ATC,MESH,0
ATC,MP,0
ATC,OBI,0
ATC,OBOREL,0
ATC,OMIT,0
ATC,ORDO,0
ATC,PATO,0
ATC,PR,0
ATC,PW,0
ATC,PXO,0
ATC,RXNORM,0
ATC,SNOMEDCT,0
ATC,UBERON,0
ATC,UO,0
ATC,VO,0
BAO,ATC,0
BAO,BFO,0
BAO,BP,0
BAO,ChEBI,1
BAO,CL,0
BAO,CLO,1
BAO,DIDEO,0
BAO,DOID,1
BAO,DTO,0
BAO,FMA,1
BAO,GO,1
BAO,HOOM,0
BAO,HP,0
BAO,HRDO,0
BAO,IAO,1
BAO,ICD10CM,0
BAO,IDO,0
BAO,MEDDRA,0
BAO,MESH,0
BAO,MP,0
BAO,OBI,1
BAO,OBOREL,1
BAO,OMIT,0
BAO,ORDO,0
BAO,PATO,1
BAO,PR,0
BAO,PW,0
BAO,PXO,0
BAO,RXNORM,0
BAO,SNOMEDCT,0
BAO,UBERON,1
BAO,UO,1
BAO,VO,0
BFO,ATC,0
BFO,BAO,0
BFO,BP,0
BFO,ChEBI,0
BFO,CL,0
BFO,CLO,0
BFO,DIDEO,0
BFO,DOID,0
BFO,DTO,0
BFO,FMA,0
BFO,GO,0
BFO,HOOM,0
BFO,HP,0
BFO,HRDO,0
BFO,IAO,0
BFO,ICD10CM,0
BFO,IDO,0
BFO,MEDDRA,0
BFO,MESH,0
BFO,MP,0
BFO,OBI,0
BFO,OBOREL,0
BFO,OMIT,0
BFO,ORDO,0
BFO,PATO,0
BFO,PR,0
BFO,PW,0
BFO,PXO,0
BFO,RXNORM,0
BFO,SNOMEDCT,0
BFO,UBERON,0
BFO,UO,0
BFO,VO,0
BP,ATC,0
BP,BAO,0
BP,BFO,0
BP,ChEBI,0
BP,CL,0
BP,CLO,0
BP,DIDEO,0
BP,DOID,0
BP,DTO,0
BP,FMA,0
BP,GO,0
BP,HOOM,0
BP,HP,0
BP,HRDO,0
BP,IAO,0
BP,ICD10CM,0
BP,IDO,0
BP,MEDDRA,0
BP,MESH,0
BP,MP,0
BP,OBI,0
BP,OBOREL,0
BP,OMIT,0
BP,ORDO,0
BP,PATO,0
BP,PR,0
BP,PW,0
BP,PXO,0
BP,RXNORM,0
BP,SNOMEDCT,0
BP,UBERON,0
BP,UO,0
BP,VO,0
ChEBI,ATC,0
ChEBI,BAO,0
ChEBI,BFO,0
ChEBI,BP,0
ChEBI,CL,0
ChEBI,CLO,0
ChEBI,DIDEO,0
ChEBI,DOID,0
ChEBI,DTO,0
ChEBI,FMA,0
ChEBI,GO,0
ChEBI,HOOM,0
ChEBI,HP,0
ChEBI,HRDO,0
ChEBI,IAO,0
ChEBI,ICD10CM,0
ChEBI,IDO,0
ChEBI,MEDDRA,0
ChEBI,MESH,0
ChEBI,MP,0
ChEBI,OBI,0
ChEBI,OBOREL,0
ChEBI,OMIT,0
ChEBI,ORDO,0
ChEBI,PATO,0
ChEBI,PR,0
ChEBI,PW,0
ChEBI,PXO,0
ChEBI,RXNORM,0
ChEBI,SNOMEDCT,0
ChEBI,UBERON,0
ChEBI,UO,0
ChEBI,VO,0
CL,ATC,0
CL,BAO,0
CL,BFO,1
CL,BP,0
CL,ChEBI,1
CL,CLO,1
CL,DIDEO,0
CL,DOID,0
CL,DTO,0
CL,FMA,1
CL,GO,1
CL,HOOM,0
CL,HP,0
CL,HRDO,0
CL,IAO,1
CL,ICD10CM,0
CL,IDO,0
CL,MEDDRA,0
CL,MESH,0
CL,MP,0
CL,OBI,1
CL,OBOREL,1
CL,OMIT,0
CL,ORDO,0
CL,PATO,1
CL,PR,1
CL,PW,0
CL,PXO,0
CL,RXNORM,0
CL,SNOMEDCT,0
CL,UBERON,1
CL,UO,0
CL,VO,0
CLO,ATC,0
CLO,BAO,0
CLO,BFO,1
CLO,BP,0
CLO,ChEBI,1
CLO,CL,1
CLO,DIDEO,0
CLO,DOID,1
CLO,DTO,0
CLO,FMA,1
CLO,GO,1
CLO,HOOM,0
CLO,HP,1
CLO,HRDO,0
CLO,IAO,1
CLO,ICD10CM,0
CLO,IDO,0
CLO,MEDDRA,0
CLO,MESH,0
CLO,MP,0
CLO,OBI,1
CLO,OBOREL,1
CLO,OMIT,0
CLO,ORDO,0
CLO,PATO,1
CLO,PR,1
CLO,PW,0
CLO,PXO,0
CLO,RXNORM,0
CLO,SNOMEDCT,0
CLO,UBERON,1
CLO,UO,0
CLO,VO,1
DIDEO,ATC,0
DIDEO,BAO,0
DIDEO,BFO,1
DIDEO,BP,0
DIDEO,ChEBI,1
DIDEO,CL,1
DIDEO,CLO,1
DIDEO,DOID,1
DIDEO,DTO,0
DIDEO,FMA,1
DIDEO,GO,1
DIDEO,HOOM,0
DIDEO,HP,0
DIDEO,HRDO,0
DIDEO,IAO,1
DIDEO,ICD10CM,0
DIDEO,IDO,1
DIDEO,MEDDRA,0
DIDEO,MESH,0
DIDEO,MP,0
DIDEO,OBI,1
DIDEO,OBOREL,1
DIDEO,OMIT,0
DIDEO,ORDO,0
DIDEO,PATO,0
DIDEO,PR,1
DIDEO,PW,0
DIDEO,PXO,0
DIDEO,RXNORM,0
DIDEO,SNOMEDCT,0
DIDEO,UBERON,1
DIDEO,UO,1
DIDEO,VO,1
DOID,ATC,0
DOID,BAO,0
DOID,BFO,0
DOID,BP,0
DOID,ChEBI,0
DOID,CL,0
DOID,CLO,0
